23:40:45,2023-01-25, Ще декілька бпла на лінії фронту у Запорізькій області.  
23:23:13,2023-01-25,"Збиваються цілі на Півдні, про кожну не пишемо.  "
23:09:57,2023-01-25, Дніпро - робота ППО.  
22:58:42,2023-01-25,"Загрози Ту-22м3 на даний момент немає, тільки БпЛА."
22:41:15,2023-01-25,Є збиття БпЛА по Півдню.
22:32:30,2023-01-25,Напрямок ракет на Черкащину/ Полтавщину
22:31:37,2023-01-25, Вибухи  у Дніпрі.
22:10:01,2023-01-25,"Особлива увага Дніпру та Запоріжжю, повідомити про запуск ракет майже неможливо через їх швідкість, за можливості знайдіть безпечні місця заздалегідь."
22:07:07,2023-01-25," Є повідомлення про наявність 3х Ту-22м3 біля східних кордонів. Я особисто не володію такою інформацію, але з огляду на активність бойових частот голосової мережі раджу не ігнорувати сигнали повітряної тривоги.  "
22:01:43,2023-01-25,"Не всі БпЛА видно з огляду на їх розмір, тому повідомляти буду по можливості."
21:33:17,2023-01-25,→БпЛА у бік Запоріжжя. Скоріш за все буде рухатись вздовж Дніпра.  
21:15:31,2023-01-25," Загроза БпЛА типу ""Шахід"" на Півдні та центральних областях.  "
20:38:44,2023-01-25, Відбій по областях.
20:12:48,2023-01-25, Загроза застосування наземних пускових комплексів ОТРК на Півночі.  
20:05:41,2023-01-25, Активність голосової мережі стратегічної авіації рф на бойових частотах. Ввімкнено трансміттер. 22:00 Все ще активна.  
19:57:12,2023-01-25, Вибухи у Херсоні.
19:07:49,2023-01-25,+31 танк Абрамс 
16:52:21,2023-01-25, Відбій по областях.
16:28:23,2023-01-25,"Досить дивні тривоги сьогодні, наразі без застосування авіації. Про ОТРК немає інформації.  "
15:38:44,2023-01-25, Посадка МіГів — відбій ракетної небезпеки по областях.  
15:03:05,2023-01-25,"Так, ще раз, бо багато питань. — Є зліт стратегічної авіації десь над територією рф, можливо тренувальний, можливо транспортувальний, на даний момент - не бойовий. — Фактично тривогу оголошено через тактичну авіацію (МіГ-31К) з гіперзвуковим озброєнням над територією Білорусі. — На Сході та вздовж лінії фронту загроза балістичного озброєння (ОТРК/ЗРК). — Тактична авіація присутня як і завжди і загалом великої загрози не становить. Я дуже прошу писати вас ємно і по суті.  "
14:32:59,2023-01-25," Активність стратегічної авіації рф.  Зліт з: (наземне тестування) У небі борт(и): n Диспетчер: Католік, Геолог  Інформація про статус польоту оновлюється у цьому пості.  "
14:10:16,2023-01-25,"Імовірність запуску крилатих ракет стратегічною авіацією в режимі радіомовчання або надзвукових ракет тактичною авіацією.  Пройдіть в укриття, якщо у вашій області оголошено тривогу.  "
13:49:13,2023-01-25,Імовірність запуску ракет із акваторії Чорного моря та Азовського моря. Наявна тактична авіація ворога над акваторіями та на окупованих територіях. Обстріл Донеччини здійснюється наземними ракетними комплексами.  
12:59:56,2023-01-25, Відбій по областях.
12:31:01,2023-01-25,Імовірність запуску ракет із акваторії Чорного моря  / БПЛА з окупованих територій.  
12:25:18,2023-01-25, Західні області — працює наша авіація.  
12:19:40,2023-01-25,"За інформацією, вздовж кордону Західних областей України проводяться спільні навчання рф та Білорусі з висадки десанту з Іл-76.  "
12:13:18,2023-01-25,Нетипова тривога у Західних областях. Уточнюємо.  
11:09:16,2023-01-25, Загроза застосування наземних пускових комплексів ОТРК на Сході.  
10:55:46,2023-01-25,Два МіГи сіли — відбій по областях.
10:00:35,2023-01-25,"Як зажди, тривога з-за МіГів над Білоруссю. Загрози не несе."
19:49:14,2023-01-24, Танки Leopard 2A6 нарешті будуть відправлені в Україну. Очікую на F-16
17:11:56,2023-01-24," Сімферополь, Крим — чутно звуки вибухів.  "
15:35:02,2023-01-24, Активність ворожої авіації вздовж кордонів східних областей.  
15:19:39,2023-01-24, Відбій по областях.
14:48:36,2023-01-24, Паралельно тренувальний/транспортувальний рейс стратегічної авіації рф у Північно-Західному регіоні. Із сигналом тривоги не пов'язано.  
14:31:54,2023-01-24," Активність тактичної авіації рф (МіГ-31К) над територією Білорусі.  МіГ-31К — носій гіперзвукової ракети Х-47м2 ""Кинджал"", яку наші засоби ППО не можуть перехопити. Тому тривогу оголошено по всіх областях України.  МіГ-31К можуть супроводжувати: — Винищувачі Су-30СМ; — Літак дальнього радіолокаційного стеження Іл-76 А-50У.  Інформація у повідомленні оновлюється.  14:20 Зліт у Мачулищах, РБ.  "
14:27:29,2023-01-24, Відбій по областях.
14:02:26,2023-01-24, Загроза застосування наземних пускових комплексів ОТРК на Сході.  
10:53:24,2023-01-24,Донеччина — відпрацювало ППО. Покровськ — вибухи.  
10:41:44,2023-01-24," Краматорськ, Донеччина під обстрілом ЗРК/ОТРК  "
10:07:36,2023-01-24,Іранський вантажний Іл-76ТД Pouya Air (EP-PUS) прямує на посадку біля Москви. Вірогідно вантаж військового призначення.  
08:15:04,2023-01-24,ОК «Південь»: У Чорному морі 4х носіїв ракет типу «Калібр». Загальний боєзапас до 28 ракет.  
08:12:26,2023-01-24,"ℹ Якщо на каналі не публікується інформація, то це означає, що не трапляється нічого, що варто вашої уваги на думку адміна.  Ми слідкуємо за авіацією майже цілодобово."
08:06:59,2023-01-24,За півгодини протиповітряного бою з 00.00 по 00.30 годин 24 січня 2023 року підрозділами зенітних ракетних військ Повітряних Сил Збройних Сил України на східному напрямку знищено три російські ударні вертольоти Ка-52.  Командування ПС  
10:59:39,2023-01-23, Активність ворожої авіації вздовж кордонів східних областей.  
08:13:16,2023-01-23, Активність голосової та морзе-мережі стратегічної авіації рф. Триває перевірка зв'язку. Можливі тренувальні/транспортувальні рейси.  
07:56:32,2023-01-23,ОК «Південь»: У Чорному морі 3х носіїв ракет типу «Калібр». Загальний боєзапас до 24 ракет.  
22:58:58,2023-01-22, Відбій по областях.
22:18:17,2023-01-22, Загроза застосування наземних пускових комплексів ОТРК вздовж лінії фронту та Сході.  
22:18:05,2023-01-22," Вибухи у Краматорську, Донеччина.  "
21:55:39,2023-01-22,"Харківщина під обстрілом ЗРК С-300 з Білгородщини, рф."
21:11:13,2023-01-22, Відбій по областях.
20:39:02,2023-01-22, Загроза застосування наземних пускових комплексів ОТРК вздовж лінії фронту та Сході.  
19:48:24,2023-01-22,Активності тактичної авіації на Північному сході не спостерігається.  
19:45:20,2023-01-22," Вибухи у Краматорську, Донеччина.  "
18:49:42,2023-01-22, Тренування стратегічної авіації рф.  Зліт з: Аеродром Енгельс-2 У небі борт(и): 94435; Диспетчер: Баланс;  Інформація про статус польоту оновлюється у цьому пості.  
